Day,restaurant: (Italy)
6/30/2025,44
7/1/2025,48
7/2/2025,51
7/3/2025,48
7/4/2025,50
7/5/2025,63
7/6/2025,66
7/7/2025,48
7/8/2025,53
7/9/2025,56
7/10/2025,52
7/11/2025,57
7/12/2025,70
7/13/2025,67
7/14/2025,56
7/15/2025,60
7/16/2025,62
7/17/2025,60
7/18/2025,58
7/19/2025,75
7/20/2025,73
7/21/2025,59
7/22/2025,61
7/23/2025,65
7/24/2025,63
7/25/2025,63
7/26/2025,78
7/27/2025,80
7/28/2025,63
7/29/2025,64
7/30/2025,67
7/31/2025,65
8/1/2025,70
8/2/2025,87
8/3/2025,84
8/4/2025,71
8/5/2025,73
8/6/2025,77
8/7/2025,75
8/8/2025,75
8/9/2025,94
8/10/2025,96
8/11/2025,82
